item_id,property,value
169,color,color_val_2
170,price,price_val_3
170,brand,brand_val_6
170,color,color_val_7
171,color,color_val_8
171,brand,brand_val_4
172,brand,brand_val_5
172,color,color_val_2
172,price,price_val_8
173,category,category_val_1
173,price,price_val_6
174,color,color_val_5
175,color,color_val_9
176,color,color_val_0
176,price,price_val_2
177,color,color_val_7
177,brand,brand_val_1
177,category,category_val_4
178,brand,brand_val_6
178,color,color_val_6
178,price,price_val_5
179,brand,brand_val_9
179,color,color_val_7
180,category,category_val_3
180,brand,brand_val_1
180,price,price_val_8
181,category,category_val_2
181,price,price_val_4
181,color,color_val_1
182,category,category_val_8
183,category,category_val_7
183,price,price_val_7
184,price,price_val_7
184,category,category_val_6
184,brand,brand_val_7
185,category,category_val_7
185,brand,brand_val_1
185,price,price_val_2
186,price,price_val_7
186,brand,brand_val_6
187,brand,brand_val_7
187,color,color_val_5
187,price,price_val_9
188,brand,brand_val_7
189,brand,brand_val_3
189,category,category_val_1
189,color,color_val_1
190,price,price_val_9
190,category,category_val_5
190,brand,brand_val_6
191,category,category_val_3
191,brand,brand_val_4
191,price,price_val_8
192,category,category_val_6
192,color,color_val_2
192,brand,brand_val_2
193,color,color_val_4
193,price,price_val_2
193,brand,brand_val_2
194,category,category_val_4
194,brand,brand_val_5
194,price,price_val_8
195,category,category_val_0
195,price,price_val_0
195,brand,brand_val_2
196,price,price_val_1
196,color,color_val_0
197,category,category_val_1
198,brand,brand_val_6
199,price,price_val_3
200,brand,brand_val_6
201,price,price_val_0
202,color,color_val_1
202,brand,brand_val_2
202,category,category_val_6
203,color,color_val_7
204,brand,brand_val_8
204,category,category_val_8
205,color,color_val_9
206,brand,brand_val_1
207,category,category_val_5
208,color,color_val_2
209,price,price_val_0
209,brand,brand_val_7
210,brand,brand_val_6
210,color,color_val_8
211,category,category_val_6
211,price,price_val_3
212,price,price_val_1
212,category,category_val_0
213,category,category_val_5
213,price,price_val_9
213,color,color_val_5
214,color,color_val_8
214,brand,brand_val_9
215,price,price_val_4
216,brand,brand_val_6
216,color,color_val_5
216,category,category_val_5
217,category,category_val_8
217,brand,brand_val_1
217,price,price_val_0
218,color,color_val_7
218,category,category_val_0
218,brand,brand_val_4
219,color,color_val_8
219,category,category_val_4
219,price,price_val_4
220,category,category_val_8
221,brand,brand_val_5
221,price,price_val_6
222,brand,brand_val_5
222,price,price_val_9
223,price,price_val_7
224,color,color_val_3
224,brand,brand_val_8
225,category,category_val_0
226,brand,brand_val_4
226,color,color_val_8
226,category,category_val_2
227,brand,brand_val_3
227,color,color_val_0
228,color,color_val_1
228,price,price_val_6
229,price,price_val_7
229,color,color_val_6
229,category,category_val_8
230,brand,brand_val_7
230,price,price_val_9
231,price,price_val_3
232,price,price_val_1
233,price,price_val_5
234,brand,brand_val_9
234,price,price_val_3
235,category,category_val_2
235,brand,brand_val_0
235,color,color_val_8
236,price,price_val_2
237,category,category_val_0
238,price,price_val_8
238,category,category_val_6
238,brand,brand_val_9
239,category,category_val_9
240,color,color_val_6
241,category,category_val_8
241,color,color_val_3
241,brand,brand_val_5
242,brand,brand_val_2
242,color,color_val_1
243,brand,brand_val_6
244,brand,brand_val_6
244,category,category_val_4
245,price,price_val_5
246,category,category_val_6
246,price,price_val_0
247,brand,brand_val_9
247,color,color_val_4
247,category,category_val_6
248,price,price_val_9
248,brand,brand_val_6
249,brand,brand_val_1
249,category,category_val_4
250,color,color_val_2
251,category,category_val_8
251,color,color_val_9
251,price,price_val_7
252,color,color_val_1
252,price,price_val_4
253,brand,brand_val_3
254,price,price_val_9
254,category,category_val_4
255,category,category_val_1
255,price,price_val_4
256,category,category_val_5
257,price,price_val_8
257,brand,brand_val_9
257,color,color_val_1
258,brand,brand_val_2
258,color,color_val_6
259,color,color_val_7
260,price,price_val_4
260,brand,brand_val_4
260,color,color_val_3
261,category,category_val_2
261,color,color_val_1
262,color,color_val_5
263,price,price_val_9
264,brand,brand_val_7
264,color,color_val_8
265,category,category_val_6
266,brand,brand_val_9
266,category,category_val_7
267,category,category_val_9
267,price,price_val_2
268,category,category_val_1
268,color,color_val_4
269,brand,brand_val_1
269,category,category_val_3
270,color,color_val_2
271,color,color_val_2
271,category,category_val_6
272,color,color_val_3
272,category,category_val_1
272,brand,brand_val_6
273,category,category_val_7
274,price,price_val_7
275,brand,brand_val_9
276,brand,brand_val_7
276,color,color_val_4
277,color,color_val_6
277,price,price_val_3
277,brand,brand_val_9
278,price,price_val_3
278,brand,brand_val_9
278,color,color_val_6
279,color,color_val_7
279,price,price_val_3
279,brand,brand_val_2
280,category,category_val_5
280,color,color_val_1
281,category,category_val_2
281,color,color_val_3
282,category,category_val_6
282,price,price_val_2
282,color,color_val_9
283,color,color_val_7
283,brand,brand_val_0
284,color,color_val_2
285,category,category_val_7
285,color,color_val_5
285,brand,brand_val_0
286,category,category_val_4
286,price,price_val_5
287,brand,brand_val_5
287,category,category_val_1
287,color,color_val_7
288,price,price_val_5
288,color,color_val_5
289,brand,brand_val_6
289,color,color_val_6
290,color,color_val_9
291,color,color_val_6
291,brand,brand_val_1
292,brand,brand_val_0
292,price,price_val_8
292,category,category_val_8
293,color,color_val_9
293,category,category_val_2
294,price,price_val_6
295,price,price_val_0
295,category,category_val_7
296,color,color_val_4
296,price,price_val_7
297,category,category_val_3
298,price,price_val_6
298,color,color_val_2
299,brand,brand_val_6
300,brand,brand_val_1
301,category,category_val_6
301,price,price_val_8
302,brand,brand_val_3
302,color,color_val_4
302,price,price_val_3
303,category,category_val_6
304,price,price_val_6
304,category,category_val_2
305,brand,brand_val_7
305,price,price_val_5
306,price,price_val_9
306,brand,brand_val_3
307,color,color_val_8
307,category,category_val_7
308,category,category_val_3
308,color,color_val_2
308,brand,brand_val_5
309,brand,brand_val_7
309,color,color_val_4
310,color,color_val_6
311,price,price_val_2
311,color,color_val_2
312,color,color_val_5
313,color,color_val_6
313,price,price_val_9
314,brand,brand_val_4
315,category,category_val_8
316,brand,brand_val_8
317,price,price_val_9
317,brand,brand_val_2
318,price,price_val_6
318,brand,brand_val_7
319,brand,brand_val_9
319,color,color_val_9
320,color,color_val_8
320,price,price_val_5
320,brand,brand_val_4
321,color,color_val_4
321,brand,brand_val_1
321,category,category_val_6
322,category,category_val_6
322,price,price_val_1
322,brand,brand_val_4
323,color,color_val_7
324,color,color_val_5
325,color,color_val_5
325,brand,brand_val_6
325,price,price_val_8
326,color,color_val_3
326,category,category_val_3
326,price,price_val_4
327,color,color_val_0
327,brand,brand_val_0
328,price,price_val_7
328,category,category_val_8
329,color,color_val_5
329,price,price_val_3
329,brand,brand_val_7
330,category,category_val_9
330,price,price_val_8
331,brand,brand_val_1
331,category,category_val_9
331,color,color_val_1
332,brand,brand_val_6
332,color,color_val_3
333,category,category_val_1
333,brand,brand_val_1
334,brand,brand_val_7
334,price,price_val_6
335,category,category_val_5
335,color,color_val_1
335,price,price_val_6
336,brand,brand_val_9
336,category,category_val_5
337,color,color_val_2
337,price,price_val_9
337,category,category_val_1
338,price,price_val_1
338,brand,brand_val_5
339,brand,brand_val_3
339,price,price_val_7
339,color,color_val_0
340,price,price_val_3
341,category,category_val_1
341,brand,brand_val_8
342,color,color_val_6
343,color,color_val_0
343,brand,brand_val_9
344,color,color_val_2
344,price,price_val_2
345,color,color_val_7
345,brand,brand_val_9
346,price,price_val_0
346,brand,brand_val_4
346,category,category_val_3
347,brand,brand_val_5
347,price,price_val_2
347,color,color_val_0
348,price,price_val_2
348,category,category_val_5
349,price,price_val_7
349,brand,brand_val_6
349,category,category_val_0
350,price,price_val_5
351,brand,brand_val_7
351,price,price_val_3
352,price,price_val_1
352,brand,brand_val_8
352,category,category_val_7
353,color,color_val_1
353,brand,brand_val_4
354,brand,brand_val_5
355,category,category_val_8
355,price,price_val_2
355,color,color_val_2
356,brand,brand_val_8
356,color,color_val_9
356,price,price_val_6
357,brand,brand_val_1
358,brand,brand_val_8
358,price,price_val_1
359,category,category_val_5
359,brand,brand_val_5
359,price,price_val_9
360,color,color_val_1
360,category,category_val_7
360,brand,brand_val_9
361,category,category_val_5
361,color,color_val_5
362,price,price_val_6
362,category,category_val_5
362,color,color_val_6
363,category,category_val_8
363,color,color_val_1
364,color,color_val_5
365,category,category_val_6
365,brand,brand_val_3
365,color,color_val_6
366,price,price_val_4
367,price,price_val_8
367,category,category_val_1
367,color,color_val_4
368,price,price_val_7
368,color,color_val_8
368,category,category_val_2
369,brand,brand_val_8
369,color,color_val_4
369,category,category_val_7
370,price,price_val_4
370,color,color_val_8
370,category,category_val_6
371,category,category_val_0
371,brand,brand_val_0
372,price,price_val_4
373,brand,brand_val_6
373,color,color_val_6
374,price,price_val_0
374,color,color_val_4
375,price,price_val_9
375,color,color_val_4
376,category,category_val_7
377,category,category_val_3
377,brand,brand_val_0
378,price,price_val_5
378,category,category_val_8
378,color,color_val_8
379,color,color_val_3
379,category,category_val_9
380,color,color_val_4
380,category,category_val_5
380,price,price_val_0
381,brand,brand_val_9
382,category,category_val_1
382,brand,brand_val_1
383,brand,brand_val_7
384,color,color_val_9
384,price,price_val_4
384,brand,brand_val_3
385,color,color_val_6
385,price,price_val_8
386,category,category_val_4
386,color,color_val_7
387,color,color_val_0
387,price,price_val_9
388,category,category_val_6
389,category,category_val_5
389,color,color_val_0
389,price,price_val_7
390,price,price_val_5
391,brand,brand_val_2
392,category,category_val_6
392,color,color_val_6
393,category,category_val_8
393,brand,brand_val_0
394,color,color_val_0
394,price,price_val_5
394,brand,brand_val_5
395,price,price_val_2
395,brand,brand_val_7
396,category,category_val_7
397,category,category_val_8
397,price,price_val_8
397,color,color_val_5
398,category,category_val_9
399,color,color_val_3
399,brand,brand_val_2
400,category,category_val_2
400,color,color_val_5
400,price,price_val_6
401,color,color_val_7
401,category,category_val_9
401,price,price_val_0
402,color,color_val_1
403,brand,brand_val_2
403,category,category_val_0
404,color,color_val_9
405,price,price_val_8
405,color,color_val_3
406,color,color_val_4
406,category,category_val_0
406,brand,brand_val_3
407,price,price_val_6
407,color,color_val_1
407,category,category_val_5
408,price,price_val_1
409,price,price_val_8
410,color,color_val_9
411,category,category_val_9
411,brand,brand_val_9
412,category,category_val_2
413,color,color_val_4
413,brand,brand_val_3
414,color,color_val_5
415,color,color_val_2
415,price,price_val_9
416,category,category_val_1
417,color,color_val_8
417,brand,brand_val_3
418,brand,brand_val_1
419,price,price_val_2
419,category,category_val_2
419,brand,brand_val_2
420,brand,brand_val_0
420,price,price_val_2
421,brand,brand_val_1
421,category,category_val_1
421,price,price_val_3
422,category,category_val_9
423,brand,brand_val_0
423,price,price_val_4
424,brand,brand_val_2
424,category,category_val_6
424,color,color_val_1
425,category,category_val_4
425,color,color_val_5
425,price,price_val_7
426,brand,brand_val_2
426,color,color_val_2
427,price,price_val_1
427,color,color_val_5
428,brand,brand_val_5
428,category,category_val_4
429,price,price_val_1
429,color,color_val_7
429,category,category_val_1
430,category,category_val_9
431,price,price_val_1
432,brand,brand_val_9
432,category,category_val_5
433,color,color_val_3
433,category,category_val_2
434,color,color_val_1
434,brand,brand_val_3
434,price,price_val_9
435,category,category_val_0
436,color,color_val_2
436,brand,brand_val_5
437,brand,brand_val_9
438,category,category_val_8
439,color,color_val_5
439,price,price_val_2
439,category,category_val_2
440,brand,brand_val_4
440,category,category_val_4
441,color,color_val_2
441,brand,brand_val_7
441,price,price_val_7
442,brand,brand_val_5
442,color,color_val_2
442,category,category_val_2
443,color,color_val_5
444,price,price_val_5
444,color,color_val_6
444,category,category_val_9
445,price,price_val_2
445,category,category_val_6
446,price,price_val_0
447,price,price_val_7
448,price,price_val_2
448,brand,brand_val_7
448,color,color_val_5
449,category,category_val_3
449,brand,brand_val_9
450,category,category_val_2
450,brand,brand_val_1
451,category,category_val_9
451,brand,brand_val_7
452,price,price_val_6
452,brand,brand_val_8
452,category,category_val_8
453,color,color_val_6
454,category,category_val_6
454,price,price_val_9
454,brand,brand_val_0
455,price,price_val_1
456,brand,brand_val_3
456,color,color_val_0
457,price,price_val_3
457,color,color_val_6
458,category,category_val_4
458,color,color_val_3
459,color,color_val_4
459,brand,brand_val_2
460,category,category_val_8
461,price,price_val_5
461,category,category_val_1
462,price,price_val_8
462,color,color_val_0
463,brand,brand_val_3
463,price,price_val_5
463,category,category_val_6
464,price,price_val_7
464,brand,brand_val_8
464,category,category_val_6
465,brand,brand_val_8
465,price,price_val_2
465,category,category_val_7
466,brand,brand_val_0
466,price,price_val_0
466,color,color_val_0
467,color,color_val_4
468,price,price_val_6
468,color,color_val_7
468,category,category_val_4
469,color,color_val_4
470,brand,brand_val_7
470,price,price_val_6
471,color,color_val_4
472,price,price_val_4
473,brand,brand_val_4
474,color,color_val_7
474,category,category_val_2
474,brand,brand_val_7
475,color,color_val_6
476,brand,brand_val_9
476,price,price_val_4
477,brand,brand_val_2
477,category,category_val_8
478,price,price_val_5
479,brand,brand_val_5
479,color,color_val_5
480,brand,brand_val_4
480,category,category_val_6
481,brand,brand_val_9
481,price,price_val_4
482,color,color_val_3
483,brand,brand_val_1
484,brand,brand_val_1
484,price,price_val_2
485,brand,brand_val_6
486,price,price_val_2
486,color,color_val_3
486,brand,brand_val_3
487,price,price_val_2
487,brand,brand_val_6
487,category,category_val_3
488,category,category_val_0
488,price,price_val_0
488,brand,brand_val_7
489,brand,brand_val_8
490,category,category_val_6
491,color,color_val_4
491,price,price_val_1
492,brand,brand_val_9
493,category,category_val_5
494,color,color_val_1
494,category,category_val_2
494,brand,brand_val_3
495,category,category_val_6
496,color,color_val_6
496,brand,brand_val_6
496,category,category_val_7
497,brand,brand_val_2
498,brand,brand_val_2
498,price,price_val_9
499,price,price_val_0
500,price,price_val_8
500,brand,brand_val_0
501,brand,brand_val_9
502,category,category_val_4
503,price,price_val_2
504,category,category_val_0
505,color,color_val_6
505,category,category_val_0
506,category,category_val_4
506,color,color_val_5
507,category,category_val_6
507,brand,brand_val_1
508,price,price_val_7
509,price,price_val_8
509,color,color_val_3
510,brand,brand_val_0
510,color,color_val_1
511,price,price_val_6
511,category,category_val_7
511,brand,brand_val_8
512,price,price_val_3
513,color,color_val_4
513,brand,brand_val_2
513,price,price_val_8
514,color,color_val_9
514,brand,brand_val_1
515,color,color_val_7
516,category,category_val_3
517,price,price_val_2
517,color,color_val_0
517,brand,brand_val_1
518,brand,brand_val_9
518,color,color_val_3
519,category,category_val_4
519,price,price_val_0
520,brand,brand_val_5
520,color,color_val_8
520,category,category_val_2
521,brand,brand_val_0
522,category,category_val_5
523,category,category_val_3
523,brand,brand_val_9
523,color,color_val_8
524,color,color_val_2
524,category,category_val_9
524,price,price_val_8
525,category,category_val_8
525,brand,brand_val_5
525,color,color_val_7
526,color,color_val_1
526,brand,brand_val_8
526,category,category_val_3
527,price,price_val_8
527,category,category_val_3
528,brand,brand_val_6
528,category,category_val_0
528,price,price_val_2
529,price,price_val_9
529,color,color_val_1
530,category,category_val_4
530,color,color_val_2
531,category,category_val_1
531,color,color_val_0
532,color,color_val_1
532,category,category_val_1
533,color,color_val_0
533,brand,brand_val_5
534,category,category_val_5
534,brand,brand_val_0
535,brand,brand_val_2
535,color,color_val_8
535,category,category_val_6
536,brand,brand_val_8
536,color,color_val_7
537,color,color_val_0
537,category,category_val_5
537,brand,brand_val_6
538,brand,brand_val_6
539,price,price_val_0
540,brand,brand_val_8
540,price,price_val_3
540,category,category_val_6
541,color,color_val_7
541,category,category_val_2
541,brand,brand_val_1
542,price,price_val_4
543,category,category_val_6
543,color,color_val_8
544,color,color_val_2
544,price,price_val_2
545,brand,brand_val_8
545,category,category_val_2
546,price,price_val_0
546,category,category_val_5
547,brand,brand_val_2
548,price,price_val_0
548,brand,brand_val_1
548,category,category_val_2
549,price,price_val_9
550,brand,brand_val_5
550,category,category_val_7
551,category,category_val_0
551,price,price_val_6
551,brand,brand_val_6
552,brand,brand_val_9
552,price,price_val_4
553,category,category_val_6
553,color,color_val_7
553,price,price_val_8
554,price,price_val_4
555,price,price_val_0
556,color,color_val_2
557,color,color_val_5
558,price,price_val_0
558,category,category_val_0
558,color,color_val_7
559,category,category_val_9
560,brand,brand_val_5
560,price,price_val_8
560,color,color_val_7
561,brand,brand_val_6
561,category,category_val_2
561,color,color_val_8
562,category,category_val_1
562,color,color_val_0
562,brand,brand_val_1
563,category,category_val_1
563,color,color_val_7
564,price,price_val_3
565,color,color_val_3
565,category,category_val_2
566,brand,brand_val_3
566,category,category_val_8
567,brand,brand_val_1
568,price,price_val_1
569,price,price_val_6
569,color,color_val_9
569,category,category_val_0
570,price,price_val_0
570,category,category_val_5
571,category,category_val_6
572,color,color_val_5
572,category,category_val_0
572,brand,brand_val_6
573,color,color_val_0
573,brand,brand_val_4
573,category,category_val_6
574,category,category_val_6
574,price,price_val_0
574,color,color_val_3
575,price,price_val_7
575,brand,brand_val_7
575,color,color_val_4
576,category,category_val_6
576,color,color_val_9
576,price,price_val_7
577,brand,brand_val_8
577,price,price_val_3
577,color,color_val_0
578,category,category_val_8
578,brand,brand_val_5
578,color,color_val_8
579,category,category_val_1
579,price,price_val_6
579,color,color_val_7
580,color,color_val_7
580,brand,brand_val_0
580,category,category_val_7
581,category,category_val_5
582,color,color_val_3
582,price,price_val_2
583,category,category_val_2
584,color,color_val_8
584,brand,brand_val_1
584,category,category_val_3
585,brand,brand_val_0
585,category,category_val_5
585,price,price_val_8
586,color,color_val_0
587,brand,brand_val_1
587,category,category_val_4
588,price,price_val_1
588,color,color_val_2
588,category,category_val_0
589,color,color_val_2
590,brand,brand_val_5
590,category,category_val_7
591,color,color_val_5
591,category,category_val_3
591,price,price_val_5
592,brand,brand_val_8
592,category,category_val_6
592,price,price_val_8
593,price,price_val_9
594,color,color_val_2
594,category,category_val_7
594,brand,brand_val_9
595,price,price_val_4
595,brand,brand_val_4
595,category,category_val_9
596,brand,brand_val_7
596,price,price_val_1
596,category,category_val_9
597,color,color_val_6
598,category,category_val_9
598,brand,brand_val_6
598,color,color_val_6
599,price,price_val_1
599,brand,brand_val_6
600,color,color_val_6
600,brand,brand_val_2
601,color,color_val_3
601,category,category_val_1
602,category,category_val_2
602,color,color_val_8
603,category,category_val_1
604,category,category_val_9
604,price,price_val_1
604,brand,brand_val_1
605,price,price_val_4
605,brand,brand_val_9
606,price,price_val_2
606,brand,brand_val_7
606,color,color_val_1
607,category,category_val_8
608,category,category_val_1
608,color,color_val_0
609,color,color_val_4
609,category,category_val_1
610,price,price_val_1
610,category,category_val_1
611,brand,brand_val_8
611,price,price_val_9
611,color,color_val_5
612,price,price_val_7
612,brand,brand_val_7
613,price,price_val_6
613,color,color_val_6
613,category,category_val_4
614,category,category_val_1
614,color,color_val_4
615,category,category_val_2
615,price,price_val_1
616,color,color_val_3
616,brand,brand_val_1
616,category,category_val_0
617,color,color_val_8
617,category,category_val_7
618,category,category_val_2
618,price,price_val_3
618,brand,brand_val_3
619,category,category_val_7
620,brand,brand_val_9
621,price,price_val_7
621,category,category_val_5
622,color,color_val_7
622,brand,brand_val_7
623,brand,brand_val_4
624,color,color_val_8
625,color,color_val_2
626,color,color_val_8
627,color,color_val_0
627,brand,brand_val_5
628,color,color_val_5
628,category,category_val_2
629,category,category_val_8
630,price,price_val_7
630,category,category_val_9
630,color,color_val_0
631,brand,brand_val_4
631,color,color_val_3
632,color,color_val_7
632,brand,brand_val_1
632,price,price_val_8
633,color,color_val_4
634,color,color_val_5
635,brand,brand_val_0
636,color,color_val_2
637,color,color_val_9
638,category,category_val_8
638,brand,brand_val_2
638,color,color_val_0
639,color,color_val_8
639,brand,brand_val_2
640,brand,brand_val_0
640,color,color_val_6
641,category,category_val_0
641,brand,brand_val_6
642,brand,brand_val_3
642,price,price_val_4
642,color,color_val_5
643,price,price_val_7
643,color,color_val_1
644,price,price_val_0
644,category,category_val_9
645,brand,brand_val_4
645,price,price_val_4
646,category,category_val_2
647,brand,brand_val_1
648,price,price_val_6
648,category,category_val_8
648,color,color_val_2
649,category,category_val_6
650,price,price_val_2
650,color,color_val_0
650,category,category_val_1
651,color,color_val_9
651,category,category_val_4
651,brand,brand_val_0
652,category,category_val_5
653,color,color_val_7
653,brand,brand_val_2
654,color,color_val_4
655,category,category_val_0
655,brand,brand_val_3
